code,name,brand,legacy_category,corrected_category,reason,confidence
ADVSLEEP-BLK,Adv Sound Silicone Unibody Earbuds Black,ADV Sound,Pro Audio,pro-audio,No change needed,high
ADVSLEEP-BLU,Adv Sound Silicone Unibody Earbuds Blue,ADV Sound,Pro Audio,pro-audio,No change needed,high
ADVSLEEP-RED,Adv Sound Silicone Unibody Earbuds Red,ADV Sound,Pro Audio,pro-audio,No change needed,high
ADVSLEEP-WHT,Adv Sound Silicone Unibody Earbuds White,ADV Sound,Pro Audio,pro-audio,No change needed,high
ADVSLEEPW-BLK,Adv Sound Wireless Silicone Unibody Earbuds,ADV Sound,Accessories,accessories,No change needed,high
AQCC12,Aquarian 12  Classic Clear Head,Aquarian,Accessories,drums,"Brand ""Aquarian"" makes drum/percussion products only",high
AQCC13,Aquarian 13  Classic Clear Head,Aquarian,Accessories,drums,"Brand ""Aquarian"" makes drum/percussion products only",high
AQCC14,Aquarian 14  Classic Clear Head,Aquarian,Accessories,drums,"Brand ""Aquarian"" makes drum/percussion products only",high
AQCC16,Aquarian 16  Classic Clear Head,Aquarian,Accessories,drums,"Brand ""Aquarian"" makes drum/percussion products only",high
AQCCFX10,Aquarian 10  Clear Focus X Head,Aquarian,Accessories,drums,"Brand ""Aquarian"" makes drum/percussion products only",high
AQCCFX12,Aquarian 12  Clear Focus X Head,Aquarian,Accessories,drums,"Brand ""Aquarian"" makes drum/percussion products only",high
AQCCSN12,Aquarian 12  Classic Clear Snare Bottom,Aquarian,Drums and Percussion,drums,No change needed,high
AQCCSN13,Aquarian 13  Classic Clear Snare Bottom,Aquarian,Drums and Percussion,drums,No change needed,high
AQDVII18,Aquarian 18  Deep Vintage Ii Head,Aquarian,Accessories,drums,"Brand ""Aquarian"" makes drum/percussion products only",high
AQFB22,Aquarian 22  Bass Clear Batter & Kp1,Aquarian,Accessories,drums,"Brand ""Aquarian"" makes drum/percussion products only",high
AQFOR8,Aquarian 8  Force Ten Clear Head,Aquarian,Accessories,drums,"Brand ""Aquarian"" makes drum/percussion products only",high
AQFR22BK,Aquarian 22  Black Bass Resonant & Phbk,Aquarian,Accessories,drums,"Brand ""Aquarian"" makes drum/percussion products only",high
AQHE13,Aquarian 13  Hi Energy Head,Aquarian,Accessories,drums,"Brand ""Aquarian"" makes drum/percussion products only",high
AQHF15,Aquarian 15  Hi Frequency 1Ply Thin Head,Aquarian,Accessories,drums,"Brand ""Aquarian"" makes drum/percussion products only",high
AQMODII10,Aquarian 10  Modern Vintage Ii,Aquarian,Accessories,drums,"Brand ""Aquarian"" makes drum/percussion products only",high
AQMOTCM16,Aquarian 16  Modern Vintage,Aquarian,Accessories,drums,"Brand ""Aquarian"" makes drum/percussion products only",high
AQNOS13,Aquarian 13  New Orleans Special Head,Aquarian,Accessories,drums,"Brand ""Aquarian"" makes drum/percussion products only",high
AQPA3,Aquarian Kickpatch,Aquarian,Accessories,drums,"Brand ""Aquarian"" makes drum/percussion products only",high
AQPF10,Aquarian 10  2Ply  W.Glue Head,Aquarian,Accessories,drums,"Brand ""Aquarian"" makes drum/percussion products only",high
AQPF12,Aquarian 12  2Ply With Glue Head,Aquarian,Accessories,drums,"Brand ""Aquarian"" makes drum/percussion products only",high
AQPF16,Aquarian 16  2Ply With Glue Head,Aquarian,Accessories,drums,"Brand ""Aquarian"" makes drum/percussion products only",high
AQREF8,Aquarian 8  Reflector Black Head,Aquarian,Accessories,drums,"Brand ""Aquarian"" makes drum/percussion products only",high
AQRSM22BK,Aquarian 22  Reg Sm Port/Ring Black,Aquarian,Accessories,drums,"Brand ""Aquarian"" makes drum/percussion products only",high
AQRSP210,Aquarian 10  Response 2 2Ply Head,Aquarian,Accessories,drums,"Brand ""Aquarian"" makes drum/percussion products only",high
AQRSP212,Aquarian 12  Response 2 2Ply Head,Aquarian,Accessories,drums,"Brand ""Aquarian"" makes drum/percussion products only",high
AQRSP216,Aquarian 16  Response 2 2Ply Head,Aquarian,Accessories,drums,"Brand ""Aquarian"" makes drum/percussion products only",high
