id,slug,category,brand,name,old_image,best_score,reason,error,provider
PSYV-19C-HP,dixon-deluxe-cymbal-sleeve-8mm-4pcs,drums,Dixon Drums,Dixon Deluxe Cymbal Sleeve 8Mm 4Pcs,/products/drums/dixon-star-bubinga.webp,0,,search: z-ai 429 rate limited,z-ai
PSYV-T1-HP,dixon-cymbal-sleeve-4pcs,drums,Dixon Drums,Dixon Cymbal Sleeve 4Pcs,/products/drums/dixon-star-bubinga.webp,0,,search: z-ai 429 rate limited,z-ai
EL11077,elixir-acoustic-8020-nw-ltmed-012-56-set,accessories,Elixir,Elixir Acoustic 8020 Nw Ltmed 012-56 Set,/products/guitars/cort-grs-ga1e-acoustic.webp,0,,search: all providers exhausted/cooling,z-ai
EL11102,elixir-acoustic-8020-nw-med-013-56-set,accessories,Elixir,Elixir Acoustic 8020 Nw Med 013-56 Set,/products/guitars/cort-grs-ga1e-acoustic.webp,0,"The image shows a book about astrological tables, not the Elixir Acoustic guitar strings product. | shown=Tables of Ascendants on Nirayana Basis book",best score 0 < 60,z-ai
EL11182,elixir-acoustic-8020-nw-hdlt-013-53-set,accessories,Elixir,Elixir Acoustic 8020 Nw Hdlt 013-53 Set,/products/guitars/cort-grs-ga1e-acoustic.webp,0,,search: all providers exhausted/cooling,z-ai
EL12027,elixir-electric-nckl-nw-cuslt-009-46-set,accessories,Elixir,Elixir Electric Nckl Nw Cuslt 009-46 Set,/products/guitars/ibanez-iegs62-electric.webp,0,,search: all providers exhausted/cooling,z-ai
EL12052,elixir-electric-nckl-nw-lt-010-46-set,accessories,Elixir,Elixir Electric Nckl Nw Lt 010-46 Set,/products/guitars/ibanez-iegs62-electric.webp,0,,search: all providers exhausted/cooling,z-ai
EL12077,elixir-electric-nckl-nw-lthvy-010-52-set,accessories,Elixir,Elixir Electric Nckl Nw Lthvy 010-52 Set,/products/guitars/ibanez-iegs62-electric.webp,0,,search: all providers exhausted/cooling,z-ai
EL12152,elixir-electric-nckl-nw-hvy-012-52-set,accessories,Elixir,Elixir Electric Nckl Nw Hvy 012-52 Set,/products/guitars/ibanez-iegs62-electric.webp,0,,search: all providers exhausted/cooling,z-ai
REGSC4J,gibraltar-35mm-tension-rod-with-washer,accessories,Gibraltar,Gibraltar 35Mm Tension Rod With Washer,/products/accessories/mic-mute-button.webp,0,,search: z-ai 429 rate limited,z-ai
REGSCBDHMM,gibraltar-8-gneck-bass-drum-microphone-mount,drums,Gibraltar,Gibraltar 8  G/Neck Bass Drum Microphone Mount,/products/pro-audio/sig10-drum-mic-kit.webp,0,,search: z-ai 429 rate limited,z-ai
AQRSM22BK,aquarian-22-reg-sm-portring-black,accessories,Aquarian,Aquarian 22  Reg Sm Port/Ring Black,/products/accessories/gaffer-tape-black.webp,10,"The image shows a black ring, but it does not match the brand 'Aquarian' or the specific product 'Aquarian 22 Reg Sm Port/Ring Black'. | shown=A black ring with a smooth, curved design and visible int",best score 10 < 60,z-ai
AQTCPD14,aquarian-14-tex-ctd-with-bot-pwdot-dhead,accessories,Aquarian,Aquarian 14  Tex Ctd With Bot Pwdot D/Head,/products/drums/remo-coloured-heads.webp,0,,search: all providers exhausted/cooling,
AQTC8,aquarian-8-satin-white-finsih-head,accessories,Aquarian,Aquarian 8  Satin White Finsih Head,/products/accessories/gaffer-tape-white.webp,0,"The image shows a person with hair and nail art, not a drumhead product, so it does not match the brand or product. | shown=A person with styled hair and decorative nail art",best score 0 < 60,z-ai
CGVLG28CEPRO,crafter-vlg28-ce-professional-acoustic-guitar,guitars,Crafter Guitars,Crafter Vlg28 Ce Professional Acoustic Guitar,/products/guitars/cort-grs-ga1e-acoustic.webp,0,"The image shows a cajon, not an acoustic guitar, and the brand 'GrandE' does not match 'Crafter Guitars'. | shown=A wooden cajon with 'GrandE' branding",best score 0 < 60,z-ai
SAGVP61C,saga-a-breton-44-cello-tailpiece,strings,Saga,Saga A Breton 4/4 Cello Tailpiece,/products/strings/artisan-student-violin.webp,10,"The image shows a violin and related accessories, not a cello tailpiece, so it does not match the specified product. | shown=violin with case, bow, and accessories",best score 10 < 60,z-ai
SAGVP6118,saga-a-breton-18-violin-tailpiece,strings,Saga,Saga A Breton 1/8 Violin Tailpiece,/products/strings/gc-violin-44.webp,20,"The image shows a complete 1/8 violin, bow, and case, not a violin tailpiece, so it does not match the specified product. | shown=A 1/8 size violin with bow and case",best score 20 < 60,z-ai
DM1008,dean-markley-plain-singles-008p,accessories,Dean Markley,Dean Markley Plain Singles .008P,/products/accessories/mic-stand.webp,40,The image shows Dean Markley guitar strings but features 'Super Long Play (SLP)' instead of 'Plain Singles .008P'. | shown=Dean Markley Super Long Play (SLP) guitar strings,best score 40 < 60,z-ai
DM1018,dean-markley-plain-singles-018p,accessories,Dean Markley,Dean Markley Plain Singles .018P,/products/accessories/mic-stand.webp,40,"The image shows Dean Markley Blue Steel strings, not the specified Plain Singles .018P product. | shown=Dean Markley Blue Steel guitar strings",best score 40 < 60,z-ai
RESKG330BK,dixon-electric-guitar-machine-heads-black,guitars,Dixon,Dixon Electric Guitar Machine Heads Black,/products/drums/dixon-star-bubinga.webp,20,"The image shows a Dixon stage light, not guitar machine heads. | shown=Dixon 7x10W RGB moving head stage light",best score 20 < 60,z-ai
RESKG443BK,dixon-bass-guitar-machine-heads-black-4set,guitars,Dixon,Dixon Bass Guitar Machine Heads Black 4Set,/products/drums/remo-coloured-heads.webp,20,"Image shows guitar pickups, not machine heads, so product type does not match. | shown=Black rectangular guitar pickups with silver pole pieces",best score 20 < 60,z-ai
RESKU259,dixon-ukulele-machine-heads,guitars,Dixon,Dixon Ukulele Machine Heads,/products/drums/dixon-star-bubinga.webp,20,"The image shows a Dixon drum set, not Dixon Ukulele Machine Heads. | shown=Dixon drum set",best score 20 < 60,z-ai
PAKE271-HP,dixon-drum-key-2pcs,drums,Dixon Drums,Dixon Drum Key 2Pcs,/products/drums/dixon-star-bubinga.webp,20,"The image shows a drum set, not the specified drum key product. | shown=A set of Dixon Drums in Gloss Birdseye Maple Green Burst fin",best score 20 < 60,z-ai
PAMFRH5C1BX,dixon-red-hots-tone-dampeners-combo,accessories,Dixon Drums,Dixon Red Hots Tone Dampeners Combo,/products/drums/dixon-star-bubinga.webp,30,"The image shows a box with accessories and a drum set, but no clear branding or product name visible to confirm it's the Dixon Red Hots Tone Dampeners Combo. | shown=A box with removable dividers cont",best score 30 < 60,z-ai
PAWS-11U-HP,dixon-metal-cup-washer,accessories,Dixon Drums,Dixon Metal Cup Washer,/products/drums/dixon-star-bubinga.webp,10,"The image shows a spool adapter, not a Dixon Metal Cup Washer, and the brand is not Dixon Drums. | shown=A metal spool adapter with a flanged base and threaded top",best score 10 < 60,z-ai
PAWSMCWHP,dixon-metal-cymbal-washer-4pc,drums,Dixon Drums,Dixon Metal Cymbal Washer 4Pc,/products/drums/dixon-star-bubinga.webp,20,"The image shows Dixon Drums (brand matches), but the product is a drum set, not the specified 'Dixon Metal Cymbal Washer 4Pc' (product does not match). | shown=A set of Dixon Drums (bass drum, tom, an",best score 20 < 60,z-ai
PDCM,dixon-mini-drum-claw,drums,Dixon Drums,Dixon Mini Drum Claw,/products/drums/dixon-star-bubinga.webp,30,The image shows a drum set (not a mini drum claw) but the brand appears to be Dixon Drums based on the logo. | shown=Pink drum set with multiple drums and hardware,best score 30 < 60,z-ai
PDP481HP,dixon-6-practise-pad,accessories,Dixon Drums,Dixon 6  Practise Pad,/products/drums/dixon-star-bubinga.webp,20,The image shows a practice pad but lacks visible Dixon Drums branding and the specific 'Dixon 6' product details. | shown=A black circular practice pad with embossed text,best score 20 < 60,z-ai
PDPC8SP,dixon-8-practise-pad-with-strap,accessories,Dixon Drums,Dixon 8  Practise Pad With Strap,/products/drums/dixon-star-bubinga.webp,30,"The image shows a Dixon practice pad but it is 10 inch, not 8 inch, and does not include a strap as specified in the product description. | shown=Dixon 10 inch Practice Pad Pdp-10DX-BX",best score 30 < 60,z-ai
PDSCL554ST,dixon-55x14-classic-steel-snare-drum,drums,Dixon Drums,Dixon 5.5X14 Classic Steel Snare Drum,/products/drums/dixon-star-bubinga.webp,30,"The image shows a steel snare drum, but no visible Dixon Drums branding or specific model details confirm it matches the 5.5X14 Classic Steel Snare Drum. | shown=A steel snare drum as part of a drum k",best score 30 < 60,z-ai
PHT014C1,dixon-14-clear-bottom-snare-head,drums,Dixon Drums,Dixon 14  Clear Bottom Snare Head,/products/drums/remo-coloured-heads.webp,10,"The image shows a snare drum, not a drumhead, and the visible branding (DW) does not match Dixon Drums. | shown=A purple snare drum with a clear drumhead",best score 10 < 60,z-ai
PHT114C1,dixon-14-clear-drum-head,drums,Dixon Drums,Dixon 14  Clear Drum Head,/products/drums/remo-coloured-heads.webp,20,"The image shows a drum set with a clear drum head, but the specific product is a drum set, not a single 14-inch clear drum head. | shown=A set of Dixon Drums including a bass drum with a clear drum",best score 20 < 60,z-ai
PHT214CT1,dixon-14-white-coated-drum-head,drums,Dixon Drums,Dixon 14  White Coated Drum Head,/products/drums/remo-coloured-heads.webp,30,"The image shows a complete drum set, not a single 14-inch white coated drum head. | shown=A white drum set with black hardware and a geometric logo",best score 30 < 60,z-ai
PHZ122CBDIX1,dixon-22-clear-batter-drum-head,drums,Dixon Drums,Dixon 22  Clear Batter Drum Head,/products/drums/remo-coloured-heads.webp,0,no JSON,best score 0 < 60,z-ai
PHZ122CMDIX1,dixon-22-drum-head-clear-res,drums,Dixon Drums,Dixon 22  Drum Head Clear Res,/products/drums/remo-coloured-heads.webp,10,"The image shows a drum shell, not a drum head, so it does not match the product description. | shown=A wooden drum with chrome hardware",best score 10 < 60,z-ai
PHZ122CTMDIX1,dixon-22-white-bass-head-new-logo,accessories,Dixon Drums,Dixon 22  White Bass Head New Logo,/products/drums/remo-coloured-heads.webp,30,The image shows a complete drum set rather than the specific 22-inch white bass head product. | shown=A blue Dixon drum set with a white bass drum head featuring ,best score 30 < 60,z-ai
PHZ226CT1,dixon-26-white-marching-bass-head,accessories,Dixon Drums,Dixon 26  White Marching Bass Head,/products/drums/remo-coloured-heads.webp,30,"The image shows a complete drum set rather than a single marching bass head, so it does not match the specified product. | shown=A white drum set with black hardware, including a bass drum,",best score 30 < 60,z-ai
PKS3138HP,dixon-13-power-snare-hoop-8-hole,drums,Dixon Drums,Dixon 13  Power Snare Hoop 8 Hole,/products/drums/dixon-star-bubinga.webp,30,"The image shows a Dixon snare drum head, but the product is a full snare drum head rather than the specific 13"" Power Snare Hoop 8 Hole product. | shown=Dixon snare drum head with wooden hoop and meta",best score 30 < 60,z-ai
PODSPB522STG,dixon-spark-birch-5pc-dkit-green,accessories,Dixon Drums,Dixon Spark Birch 5Pc D/Kit Green,/products/drums/dixon-star-bubinga.webp,30,"The drum kit matches the Dixon brand but has a red finish instead of green, so it does not match the specified product. | shown=A red 5-piece drum kit with silver hardware and white drumhe",best score 30 < 60,z-ai
PRCBH268RSP,dixon-cowbell-holder-with-round-post,accessories,Dixon Drums,Dixon Cowbell Holder With Round Post,/products/drums/dixon-star-bubinga.webp,20,"The image shows a drum kit, not a cowbell holder, so the product does not match. | shown=A set of Dixon Drums (drum kit)",best score 20 < 60,z-ai
PSG9000,dixon-professional-latin-bongo-stand,accessories,Dixon Drums,Dixon Professional Latin Bongo Stand,/products/drums/dixon-star-bubinga.webp,30,"The image shows a percussion stand but it appears to be a cymbal or tom stand rather than a bongo stand, and the brand is not visible to confirm. | shown=A chrome tripod-style percussion stand with a ",best score 30 < 60,z-ai
PSK110,dixon-single-conga-stand,drums,Dixon Drums,Dixon Single Conga Stand,/products/drums/dixon-star-bubinga.webp,20,The image shows a drum stand but it is not a conga stand and the brand is not clearly identifiable as Dixon Drums. | shown=A chrome drum stand with a tripod base and adjustable arms,best score 20 < 60,z-ai
PSYV-19C-HP,dixon-deluxe-cymbal-sleeve-8mm-4pcs,drums,Dixon Drums,Dixon Deluxe Cymbal Sleeve 8Mm 4Pcs,/products/drums/dixon-star-bubinga.webp,0,,search: z-ai 429 rate limited,z-ai
PSYV-T1-HP,dixon-cymbal-sleeve-4pcs,drums,Dixon Drums,Dixon Cymbal Sleeve 4Pcs,/products/drums/dixon-star-bubinga.webp,0,,search: z-ai 429 rate limited,z-ai
PSYVT1HP,dixon-cymbal-sleeve-4pc,drums,Dixon Drums,Dixon Cymbal Sleeve 4Pc,/products/drums/dixon-star-bubinga.webp,20,"The image shows a drum set (not cymbal sleeves) but the brand 'Dixon' is visible on the bass drum, so brand matches but product does not. | shown=A drum set with a green and orange gradient finish",best score 20 < 60,z-ai
DWCP5002AD4,dwcp5002ad4-5000-accelerator-double-pdl,accessories,DW,Dwcp5002Ad4 5000 Accelerator Double Pdl,/products/accessories/mic-stand.webp,0,,search: all providers exhausted/cooling,z-ai
EL11002,elixir-acoustic-8020-nw-exlt-010-set,accessories,Elixir,Elixir Acoustic 8020 Nw Exlt 010 Set,/products/guitars/cort-grs-ga1e-acoustic.webp,0,"The image shows boots, not guitar strings, so it does not match the Elixir Acoustic 8020 Nw Exlt 010 Set. | shown=A pair of green boots with fox and floral designs",best score 0 < 60,z-ai
EL11077,elixir-acoustic-8020-nw-ltmed-012-56-set,accessories,Elixir,Elixir Acoustic 8020 Nw Ltmed 012-56 Set,/products/guitars/cort-grs-ga1e-acoustic.webp,0,,search: all providers exhausted/cooling,z-ai
EL11102,elixir-acoustic-8020-nw-med-013-56-set,accessories,Elixir,Elixir Acoustic 8020 Nw Med 013-56 Set,/products/guitars/cort-grs-ga1e-acoustic.webp,0,"The image shows a book about astrological tables, not the Elixir Acoustic guitar strings product. | shown=Tables of Ascendants on Nirayana Basis book",best score 0 < 60,z-ai
EL11182,elixir-acoustic-8020-nw-hdlt-013-53-set,accessories,Elixir,Elixir Acoustic 8020 Nw Hdlt 013-53 Set,/products/guitars/cort-grs-ga1e-acoustic.webp,0,,search: all providers exhausted/cooling,z-ai
EL12027,elixir-electric-nckl-nw-cuslt-009-46-set,accessories,Elixir,Elixir Electric Nckl Nw Cuslt 009-46 Set,/products/guitars/ibanez-iegs62-electric.webp,0,,search: all providers exhausted/cooling,z-ai
EL12052,elixir-electric-nckl-nw-lt-010-46-set,accessories,Elixir,Elixir Electric Nckl Nw Lt 010-46 Set,/products/guitars/ibanez-iegs62-electric.webp,0,,search: all providers exhausted/cooling,z-ai
EL12077,elixir-electric-nckl-nw-lthvy-010-52-set,accessories,Elixir,Elixir Electric Nckl Nw Lthvy 010-52 Set,/products/guitars/ibanez-iegs62-electric.webp,0,,search: all providers exhausted/cooling,z-ai
EL12152,elixir-electric-nckl-nw-hvy-012-52-set,accessories,Elixir,Elixir Electric Nckl Nw Hvy 012-52 Set,/products/guitars/ibanez-iegs62-electric.webp,0,,search: all providers exhausted/cooling,z-ai
EL13009,elixir-009-single-steel-string,accessories,Elixir,Elixir 009 Single Steel String,/products/accessories/mic-stand.webp,40,"The image shows an Elixir steel string, but the specific product is an Anti-Rust Plain Steel String .018, not the Elixir 009 Single Steel String. | shown=Elixir Anti-Rust Plain Steel String .018",best score 40 < 60,z-ai
EL13017,elixir-017-single-steel-string,accessories,Elixir,Elixir 017 Single Steel String,/products/accessories/mic-stand.webp,40,"The image shows Elixir electric bass strings, not the Elixir 017 single steel string product. | shown=Elixir electric bass 4-string long scale stainless steel Nan",best score 40 < 60,z-ai
EL14102,elixir-bass-nckl-nw-4st-med-050-105-set,accessories,Elixir,Elixir Bass Nckl Nw 4St Med 050-105 Set,/products/guitars/cort-action-bass-v-plus.webp,0,,search: all providers exhausted/cooling,z-ai
EL16002,elixir-acoustic-phos-nw-exlt-010-47-set,accessories,Elixir,Elixir Acoustic Phos Nw Exlt 010-47 Set,/products/guitars/cort-grs-ga1e-acoustic.webp,0,,search: all providers exhausted/cooling,z-ai
EL16102,elixir-acoustic-phos-nw-med-013-56-set,accessories,Elixir,Elixir Acoustic Phos Nw Med 013-56 Set,/products/guitars/cort-grs-ga1e-acoustic.webp,0,"The image shows a table of Tamil publications, not a guitar string product, so it does not match the brand or product. | shown=A table of Tamil language publications with titles, registra",best score 0 < 60,z-ai
EL19027,elixir-electric-nckl-ow-cuslt-009-46-set,accessories,Elixir,Elixir Electric Nckl Ow Cuslt 009-46 Set,/products/guitars/ibanez-iegs62-electric.webp,0,,search: all providers exhausted/cooling,z-ai
EL19052,elixir-electric-nckl-ow-lt-010-46-set,accessories,Elixir,Elixir Electric Nckl Ow Lt 010-46 Set,/products/guitars/ibanez-iegs62-electric.webp,0,,search: all providers exhausted/cooling,z-ai
