code,name,slug,brand,category,price,qty,skillLevel,imageFileName,shortDescription,isDuplicate
ADVSLEEP-BLK,Adv Sound Silicone Unibody Earbuds Black,adv-sound-silicone-unibody-earbuds-black,ADV Sound,Pro Audio,360.0,165,Beginner,NONE,,
ADVSLEEP-BLU,Adv Sound Silicone Unibody Earbuds Blue,adv-sound-silicone-unibody-earbuds-blue,ADV Sound,Pro Audio,360.0,165,Beginner,NONE,,
ADVSLEEP-RED,Adv Sound Silicone Unibody Earbuds Red,adv-sound-silicone-unibody-earbuds-red,ADV Sound,Pro Audio,360.0,165,Beginner,NONE,,
ADVSLEEP-WHT,Adv Sound Silicone Unibody Earbuds White,adv-sound-silicone-unibody-earbuds-white,ADV Sound,Pro Audio,360.0,165,Beginner,NONE,,
ADVSLEEPW-BLK,Adv Sound Wireless Silicone Unibody Earbuds,adv-sound-wireless-silicone-unibody-earbuds,ADV Sound,Accessories,570.0,265,Beginner,NONE,,
AQCC12,Aquarian 12  Classic Clear Head,aquarian-12-classic-clear-head,Aquarian,Accessories,445.0,4,Beginner,NONE,,
AQCC13,Aquarian 13  Classic Clear Head,aquarian-13-classic-clear-head,Aquarian,Accessories,365.0,3,Beginner,NONE,,
AQCC14,Aquarian 14  Classic Clear Head,aquarian-14-classic-clear-head,Aquarian,Accessories,495.0,1,Beginner,NONE,,
AQCC16,Aquarian 16  Classic Clear Head,aquarian-16-classic-clear-head,Aquarian,Accessories,555.0,8,Beginner,NONE,,
AQCCFX10,Aquarian 10  Clear Focus X Head,aquarian-10-clear-focus-x-head,Aquarian,Accessories,560.0,1,Beginner,NONE,,
AQCCFX12,Aquarian 12  Clear Focus X Head,aquarian-12-clear-focus-x-head,Aquarian,Accessories,595.0,1,Beginner,NONE,,
AQCCSN12,Aquarian 12  Classic Clear Snare Bottom,aquarian-12-classic-clear-snare-bottom,Aquarian,Drums and Percussion,292.6,1,Beginner,NONE,,
AQCCSN13,Aquarian 13  Classic Clear Snare Bottom,aquarian-13-classic-clear-snare-bottom,Aquarian,Drums and Percussion,280.8,1,Beginner,NONE,,
AQDVII18,Aquarian 18  Deep Vintage Ii Head,aquarian-18-deep-vintage-ii-head,Aquarian,Accessories,1099.8,1,Beginner,NONE,,
AQFB22,Aquarian 22  Bass Clear Batter & Kp1,aquarian-22-bass-clear-batter-kp1,Aquarian,Accessories,1160.0,67,Beginner,NONE,,
AQFOR8,Aquarian 8  Force Ten Clear Head,aquarian-8-force-ten-clear-head,Aquarian,Accessories,538.2,2,Beginner,NONE,,
AQFR22BK,Aquarian 22  Black Bass Resonant & Phbk,aquarian-22-black-bass-resonant-phbk,Aquarian,Accessories,1195.0,44,Beginner,NONE,,
AQHE13,Aquarian 13  Hi Energy Head,aquarian-13-hi-energy-head,Aquarian,Accessories,526.6,1,Beginner,NONE,,
AQHF15,Aquarian 15  Hi Frequency 1Ply Thin Head,aquarian-15-hi-frequency-1ply-thin-head,Aquarian,Accessories,318.2,1,Beginner,NONE,,
AQMODII10,Aquarian 10  Modern Vintage Ii,aquarian-10-modern-vintage-ii,Aquarian,Accessories,560.0,3,Beginner,NONE,,
AQMOTCM16,Aquarian 16  Modern Vintage,aquarian-16-modern-vintage,Aquarian,Accessories,660.0,1,Beginner,NONE,,
AQNOS13,Aquarian 13  New Orleans Special Head,aquarian-13-new-orleans-special-head,Aquarian,Accessories,436.4,3,Beginner,NONE,,
AQPA3,Aquarian Kickpatch,aquarian-kickpatch,Aquarian,Accessories,327.6,13,Beginner,NONE,,
AQPF10,Aquarian 10  2Ply  W.Glue Head,aquarian-10-2ply-wglue-head,Aquarian,Accessories,480.0,6,Beginner,NONE,,
AQPF12,Aquarian 12  2Ply With Glue Head,aquarian-12-2ply-with-glue-head,Aquarian,Accessories,540.0,6,Beginner,NONE,,
AQPF16,Aquarian 16  2Ply With Glue Head,aquarian-16-2ply-with-glue-head,Aquarian,Accessories,740.0,6,Beginner,NONE,,
AQREF8,Aquarian 8  Reflector Black Head,aquarian-8-reflector-black-head,Aquarian,Accessories,514.8,1,Beginner,NONE,,
AQRSM22BK,Aquarian 22  Reg Sm Port/Ring Black,aquarian-22-reg-sm-portring-black,Aquarian,Accessories,1295.0,13,Beginner,NONE,,
AQRSP210,Aquarian 10  Response 2 2Ply Head,aquarian-10-response-2-2ply-head,Aquarian,Accessories,480.0,2,Beginner,NONE,,
AQRSP212,Aquarian 12  Response 2 2Ply Head,aquarian-12-response-2-2ply-head,Aquarian,Accessories,540.0,1,Beginner,NONE,,
AQRSP216,Aquarian 16  Response 2 2Ply Head,aquarian-16-response-2-2ply-head,Aquarian,Accessories,740.0,7,Beginner,NONE,,
AQRSP2B,Aquarian Response2 12 13 16 Prepack,aquarian-response2-12-13-16-prepack,Aquarian,Accessories,2170.0,1,Intermediate,NONE,,
AQS210,Aquarian 10  Super-2 2Ply Head,aquarian-10-super-2-2ply-head,Aquarian,Accessories,480.0,6,Beginner,NONE,,
AQS212,Aquarian 12  Super-2 2Ply Head,aquarian-12-super-2-2ply-head,Aquarian,Accessories,540.0,9,Beginner,NONE,,
AQS214,Aquarian 14  Super-2 2Ply Head,aquarian-14-super-2-2ply-head,Aquarian,Accessories,620.0,3,Beginner,NONE,,
AQS216,Aquarian 16  Super-2  2Ply Head,aquarian-16-super-2-2ply-head,Aquarian,Accessories,740.0,9,Beginner,NONE,,
AQS2B,Aquarian Super2 12 13 16 Prepack,aquarian-super2-12-13-16-prepack,Aquarian,Accessories,2170.0,2,Intermediate,NONE,,
AQSK1022,Aquarian 22  Super Kick 10 With Stkp2 Bass,aquarian-22-super-kick-10-with-stkp2-bass,Aquarian,Accessories,1760.0,3,Beginner,NONE,,
AQSKII22,Aquarian 22  Clr Dbl Ply Super Kick,aquarian-22-clr-dbl-ply-super-kick,Aquarian,Accessories,1650.0,10,Beginner,NONE,,
